End of Run Costs
MLam	STLam
-602.0740054349562	-602.0739964635711
-98.63254062602066	-98.6325406296813
-602.0740043639148	-341.0583020606607
-98.63254013373212	-98.63251329331402
-98.63254056820303	-602.074002058319
-98.6325402568817	-600.2332898534545
-98.63253982769263	-98.63254038385573
-98.63253999451513	-602.0739594554349
-98.63254059261646	-602.0740043111928
-98.63254043065339	-602.0740050036994
-602.074005575366	-602.0739653723705
-602.0740050271208	-602.0740052989532
-98.63254049451238	-98.63253149150978
-602.0740055664813	-602.0739671219264
-602.0739889017375	-602.0740047050477
-602.0740055740624	-602.0731523889712
-602.074004772034	-98.63253878397383
-602.0740034170359	-98.63253839773495
-98.63253991183413	-602.0740046835201
-98.6325406127299	-602.0733136682579
-602.0740053354914	-443.77120890867286
-98.63253804278018	-599.6054846256667
-602.074004683738	-602.0740043512537
-602.0740051816329	-602.073975226651
-602.0739859908774	-115.44349666638303
-98.63254019507458	-602.0590368891585
-602.0740054979422	-98.63254063163134
-98.63254028216556	-602.0740017029249
-98.63253952472999	-602.074005335157
-98.6325394276495	-602.0650987932423
-98.63253941532274	-98.63254061136679
-602.0739766845056	-602.0739756523022
-602.0740054343619	-602.073988888491
-98.63254063143272	-602.0740051647209
-602.0740045764891	-602.0740053898694
-98.6325406299036	-602.0740051272929
-98.6325366424397	-602.0740051267628
-602.0739948170329	-602.0738141938205
-98.63253460753805	-602.0739667212026
-98.63253590077201	-602.0740037477183
-602.0740000281827	-98.63254057990572
-98.63254063140265	-602.0740005955086
-98.63254063198852	-601.8405675996071
-98.632539210328	-602.0740051493894
-602.0740020515266	-601.9528269581065
-98.63253553209165	-602.0739892960435
-98.63254062838075	-602.0627867593328
-602.0739877704676	-602.0740053147299
-98.63253811711635	-98.63254030000087
-98.63254062550513	-602.0740041990693
-602.0740022358173	-602.0738922933449
-98.63254057248125	-602.0739881097993
-98.63253756987574	-602.0740028227927
-98.6325386521603	-602.074000317552
-602.0739767277129	-602.0739981511811
-602.07400309339	-602.0519245858648
-98.63253939583166	-98.63254062993718
-602.0740055703633	-602.0738518076582
-602.0740023827482	-601.3917084868029
-98.63254059767047	-602.0740035322782
-98.6325405718776	-602.0739879671187
-98.63254060659767	-602.0739613140611
-98.6325400733478	-602.0739677953842
-98.63254054454666	-602.0740055525146
-98.63253869648567	-602.0739713362094
-602.0740050660546	-602.0740051261107
-98.63253917713598	-602.0738694559727
-98.63254005257109	-602.0740049164074
-602.0740055724832	-601.9150763647625
-98.63253342329187	-602.0740036187719
-602.0739907169631	-98.63254037488453
-98.63253741882873	-602.0737950697635
-602.073995682569	-134.73637365164598
-602.0740054802804	-602.0740050135613
-602.0739996287807	-602.0740055093926
-602.074002382122	-602.0739930000992
-602.0740030340279	-602.0723414560781
-602.0740030959118	-602.0740055163066
-602.0740055709493	-602.0738920012897
-602.0740006277384	-601.9745613498582
-602.0740055199357	-602.0739652468915
-602.0740055640009	-565.3205743099019
-602.0740032632867	-587.6253867446272
-602.0740050423809	-602.074005573318
-602.0739929908156	-602.0735999167599
-602.0740015617237	-602.0739995117121
-602.0740038591196	-602.0739985203943
-98.63254062590192	-602.0739789970437
-602.0740054472208	-602.0740025288167
-98.63253860285388	-602.0734393922544
-98.63254061242385	-602.073996026159
-98.63253897817269	-601.5019855998727
-98.6325403491848	-98.63253915168971
-98.63254051450306	-602.0739943949509
-98.63254052743595	-602.0740031724766
-602.0740053868897	-98.6325399277687
-98.6325406318661	-602.0739112492064
-98.63254061311923	-602.0740041097455
-98.63254010093439	-602.074005222218
-602.0740040178907	-601.9562842006048
Acceptance Rate
0.47	1.0
0.03	0.78
0.16	0.74
0.09	0.65
0.07	0.64
0.12	0.59
0.11	0.63
0.18	0.54
0.07	0.51
0.12	0.48
0.08	0.49
0.1	0.46
0.12	0.55
0.04	0.53
0.13	0.55
0.09	0.5
0.17	0.41
0.15	0.5
0.15	0.43
0.14	0.4
0.07	0.54
0.18	0.34
0.13	0.57
0.19	0.48
0.13	0.43
0.19	0.4
0.11	0.4
0.16	0.44
0.2	0.42
0.17	0.45
0.17	0.41
0.16	0.4
0.18	0.41
0.22	0.46
0.22	0.41
0.15	0.47
0.16	0.4
0.08	0.48
0.26	0.42
0.24	0.45
0.2	0.48
0.18	0.43
0.27	0.43
0.21	0.44
0.24	0.45
0.28	0.44
0.24	0.49
0.25	0.41
0.29	0.41
0.24	0.41
0.31	0.42
0.32	0.4
0.31	0.49
0.28	0.49
0.22	0.41
0.3	0.52
0.23	0.44
0.29	0.46
0.31	0.45
0.3	0.44
0.37	0.42
0.4	0.42
0.3	0.51
0.31	0.51
0.34	0.48
0.32	0.49
0.34	0.4
0.39	0.49
0.36	0.39
0.29	0.44
0.44	0.4
0.4	0.46
0.39	0.4
0.48	0.44
0.44	0.52
0.41	0.5
0.45	0.39
0.46	0.42
0.45	0.48
0.42	0.48
0.47	0.41
0.4	0.38
0.5	0.39
0.43	0.44
0.38	0.46
0.48	0.44
0.39	0.49
0.42	0.57
0.37	0.42
0.4	0.45
0.37	0.43
0.47	0.46
0.43	0.46
0.47	0.41
0.48	0.51
0.48	0.46
0.46	0.49
0.45	0.5
0.41	0.39
0.51	0.45
0.44	0.43
0.52	0.46
0.44	0.52
0.44	0.38
0.42	0.4
0.4	0.37
0.37	0.45
0.55	0.46
0.47	0.53
0.48	0.48
0.48	0.47
0.41	0.46
0.39	0.48
0.41	0.53
0.46	0.44
0.49	0.43
0.47	0.49
0.4	0.46
0.42	0.52
0.35	0.42
0.45	0.45
0.37	0.46
0.4	0.44
0.43	0.43
0.47	0.46
0.39	0.47
0.48	0.5
0.39	0.47
0.49	0.41
0.44	0.42
0.4	0.42
0.4	0.42
0.4	0.43
0.51	0.35
0.4	0.31
0.41	0.27
0.43	0.22
0.38	0.29
0.37	0.2
0.42	0.28
0.48	0.26
0.33	0.13
0.35	0.18
0.35	0.07
0.31	0.13
0.32	0.11
0.26	0.13
0.26	0.06
0.31	0.08
0.36	0.09
0.23	0.04
0.23	0.06
0.23	0.1
0.28	0.05
0.26	0.03
0.34	0.04
0.25	0.02
0.26	0.05
0.34	0.05
0.2	0.02
0.18	0.03
0.27	0.03
0.23	0.02
0.23	0.03
0.26	0.04
0.19	0.03
0.23	0.01
0.18	0.03
0.22	0.03
0.25	0.01
0.2	0.0
0.22	0.01
0.19	0.0
0.16	0.01
0.19	0.03
0.12	0.03
0.13	0.01
0.2	0.0
0.21	0.0
0.13	0.02
0.17	0.0
0.11	0.02
0.1	0.0
0.15	0.03
0.11	0.0
0.1	0.02
0.12	0.01
0.09	0.0
0.13	0.0
0.19	0.0
0.14	0.01
0.06	0.03
0.1	0.01
0.05	0.05
0.18	0.01
0.09	0.0
0.11	0.0
0.07	0.01
0.13	0.01
0.09	0.0
0.11	0.01
