End of Run Costs
MLam	STLam
-66.32798486532306	-66.31227553125547
-52.66047487310493	-52.66045321817076
-23.225912854476533	-43.443926467042246
-35.56340196819381	-52.63960461081895
-66.32797804429978	-86.88728605540666
-35.559819040018105	-35.56348561565246
-66.32797019315588	-52.660257622681414
-35.5635017731812	-43.434238676619685
-66.27372039189787	-66.31931445030598
2.47585763514524	-35.5624598980275
-66.32795000052057	-43.4454409488348
-66.32787259109372	-23.2258620638018
2.475749198888172	-66.30139109492117
-23.22585127193248	-86.89677221819827
-23.225884718946528	-43.44525940935995
-86.90103292004653	-86.90110825735663
-86.90091936190663	-35.563013351280546
-52.66046889998941	-86.90111349894931
-43.4454561647693	-43.4454983875135
-23.22361747044162	-43.44537558016419
-43.44548096091575	-43.44548438300856
-86.90000708884403	-52.07480577967934
-66.32314709124304	-43.44548230435319
2.4757577849642223	-35.56223455981582
-66.32789181766272	-35.55516723234428
-23.225916491537003	-86.9006957663517
-35.562759721295436	-35.5622140143186
-86.901106549452	-65.70308062102697
2.475792180529007	-35.563493246568854
-23.22591390291642	-23.225882889397866
-35.56327826523929	-86.90111324484124
-52.65866294294148	-23.22591715242634
-23.21178094809352	-43.44507530116793
-23.225916658112027	-43.4455037867403
-23.22580160808218	-23.225836766679603
2.4757446704951223	-43.43457563888518
-23.215228824326477	-86.90108633481461
-23.225889931207707	-43.44477953939553
-52.660464653553476	-52.66017003805722
-66.32788687448486	-86.90018376980045
-23.225430540886112	-52.654320750923134
-66.32798292880864	-66.32766319999547
-35.56263588176133	-52.6602474053196
-35.56340488545216	-86.90028576174225
2.475788706225063	-35.53358498357716
-23.225826359526966	-86.90088328268088
-35.54606075522987	-86.89882169260056
-43.44524718805881	-66.32791684245737
-86.90104975817187	-66.3275857091841
-23.22574490884954	-23.22563618784686
-23.225897382279054	-43.445494997215825
-23.225661495305154	-52.448557480193195
-35.56350230654181	-52.66047078164608
-86.90100765242379	-85.75056431251852
-86.90007514512216	-35.56266381760601
-23.224643464113118	-23.225913052405755
-23.22550691161548	-35.562856912655874
-86.90040359289104	-66.32181264596221
-66.32796084625356	-42.44493944163987
-35.56320701305087	-43.44540476835932
-86.90097823632283	-66.32707484523108
-35.562450512498636	-52.61639488014976
-52.66047010966602	-23.225815560747815
-35.563220619030474	-86.90106941335985
-23.225915998849615	-43.44406059911675
-23.225897215787842	-66.32752733338093
2.4760067946580975	-23.22588335055982
-23.224680756050397	-65.51654951140983
-23.225917037387497	-86.90109660946086
-23.22550537088566	-43.44545520649896
-52.66020075517361	-35.56350211862443
-86.89602655354321	-86.90110761467211
-23.225873283259553	-65.88711902299659
-35.56348696555567	-52.657405999620075
-52.660466324601785	-35.558442455968944
-43.445498708563605	-86.83943661581466
-35.56346403118966	-23.225194714901253
