End of Run Costs
MLam	STLam
10.24	8.940000000000001
10.600000000000001	10.600000000000001
10.16	11.520000000000001
10.38	10.600000000000001
10.600000000000001	11.520000000000001
10.46	10.48
10.600000000000001	11.24
10.38	10.600000000000001
10.38	11.520000000000001
10.96	11.34
10.600000000000001	11.520000000000001
10.46	11.520000000000001
10.98	10.600000000000001
10.600000000000001	11.520000000000001
10.38	10.600000000000001
10.600000000000001	10.600000000000001
8.940000000000001	11.520000000000001
9.16	11.520000000000001
10.600000000000001	10.600000000000001
10.580000000000002	10.600000000000001
10.940000000000001	10.600000000000001
10.600000000000001	11.520000000000001
10.22	10.600000000000001
10.600000000000001	11.520000000000001
10.8	10.38
10.38	10.420000000000002
10.600000000000001	10.38
10.16	10.600000000000001
11.22	11.14
10.600000000000001	10.600000000000001
10.38	10.600000000000001
10.600000000000001	10.4
10.38	11.280000000000001
10.600000000000001	10.600000000000001
10.38	10.600000000000001
9.72	11.520000000000001
10.16	9.38
10.600000000000001	10.600000000000001
10.600000000000001	9.16
10.38	10.38
9.38	11.520000000000001
9.860000000000001	11.520000000000001
10.52	10.600000000000001
10.16	10.38
10.38	11.520000000000001
10.38	10.600000000000001
10.600000000000001	10.600000000000001
10.38	11.520000000000001
10.38	11.520000000000001
10.600000000000001	11.520000000000001
8.940000000000001	11.520000000000001
10.540000000000001	11.520000000000001
10.920000000000002	10.600000000000001
10.600000000000001	11.520000000000001
10.38	10.600000000000001
9.82	11.520000000000001
10.600000000000001	11.520000000000001
10.88	11.520000000000001
9.860000000000001	11.520000000000001
10.600000000000001	10.600000000000001
10.38	10.600000000000001
10.600000000000001	10.600000000000001
10.600000000000001	11.520000000000001
10.38	11.42
10.600000000000001	11.520000000000001
10.600000000000001	11.520000000000001
10.580000000000002	11.18
10.600000000000001	11.200000000000001
10.600000000000001	11.520000000000001
10.38	11.520000000000001
11.200000000000001	11.520000000000001
10.38	11.520000000000001
10.920000000000002	10.600000000000001
10.920000000000002	10.600000000000001
10.38	11.520000000000001
10.16	10.92
10.600000000000001	10.600000000000001
10.16	11.520000000000001
10.38	11.520000000000001
10.38	11.520000000000001
10.600000000000001	10.600000000000001
10.38	11.520000000000001
10.860000000000001	10.600000000000001
10.82	10.600000000000001
10.16	10.600000000000001
9.16	11.520000000000001
10.600000000000001	11.46
10.600000000000001	10.600000000000001
10.600000000000001	11.520000000000001
10.84	10.4
10.38	10.600000000000001
10.600000000000001	11.0
10.600000000000001	10.600000000000001
10.600000000000001	10.38
10.600000000000001	11.520000000000001
10.600000000000001	11.520000000000001
10.600000000000001	10.600000000000001
10.600000000000001	10.420000000000002
10.600000000000001	10.600000000000001
10.600000000000001	11.520000000000001
Acceptance Rate
0.99	1.0
1.0	0.75
0.98	0.78
0.97	0.66
0.93	0.64
0.87	0.64
0.87	0.55
0.79	0.44
0.76	0.49
0.68	0.48
0.5	0.51
0.41	0.6
0.45	0.55
0.45	0.45
0.57	0.46
0.42	0.37
0.59	0.59
0.47	0.52
0.52	0.43
0.5	0.43
0.48	0.56
0.41	0.45
0.41	0.46
0.44	0.53
0.48	0.43
0.43	0.49
0.42	0.48
0.54	0.44
0.38	0.46
0.44	0.45
0.35	0.49
0.52	0.4
0.46	0.52
0.49	0.53
0.52	0.49
0.5	0.46
0.54	0.42
0.54	0.42
0.45	0.47
0.47	0.48
0.39	0.52
0.47	0.48
0.51	0.52
0.53	0.49
0.49	0.46
0.46	0.51
0.48	0.56
0.42	0.44
0.4	0.44
0.45	0.45
0.38	0.43
0.49	0.44
0.45	0.48
0.51	0.42
0.45	0.42
0.36	0.4
0.51	0.4
0.49	0.52
0.53	0.46
0.48	0.42
0.46	0.49
0.5	0.36
0.44	0.47
0.44	0.47
0.53	0.5
0.5	0.52
0.47	0.54
0.56	0.41
0.44	0.47
0.55	0.41
0.41	0.39
0.46	0.47
0.45	0.44
0.48	0.44
0.5	0.42
0.56	0.54
0.48	0.51
0.47	0.4
0.46	0.54
0.45	0.37
0.55	0.38
0.47	0.45
0.5	0.44
0.44	0.37
0.44	0.5
0.48	0.47
0.47	0.38
0.57	0.38
0.45	0.5
0.49	0.45
0.43	0.54
0.47	0.52
0.39	0.56
0.48	0.52
0.47	0.46
0.49	0.42
0.39	0.48
0.5	0.36
0.5	0.48
0.49	0.53
0.5	0.51
0.5	0.55
0.49	0.5
0.46	0.51
0.46	0.4
0.5	0.44
0.45	0.51
0.51	0.52
0.46	0.45
0.43	0.41
0.45	0.47
0.48	0.41
0.43	0.45
0.47	0.33
0.49	0.41
0.41	0.46
0.45	0.47
0.5	0.47
0.46	0.39
0.48	0.49
0.35	0.48
0.47	0.41
0.5	0.45
0.45	0.6
0.5	0.42
0.45	0.48
0.43	0.39
0.46	0.39
0.43	0.43
0.44	0.31
0.45	0.49
0.45	0.44
0.52	0.53
0.52	0.42
0.41	0.47
0.5	0.4
0.57	0.45
0.46	0.56
0.56	0.5
0.42	0.45
0.49	0.51
0.47	0.54
0.42	0.44
0.55	0.48
0.46	0.57
0.46	0.5
0.46	0.51
0.45	0.46
0.4	0.48
0.47	0.47
0.37	0.53
0.47	0.48
0.5	0.58
0.56	0.44
0.46	0.49
0.44	0.51
0.41	0.5
0.52	0.52
0.46	0.51
0.42	0.45
0.39	0.48
0.56	0.43
0.44	0.42
0.44	0.52
0.48	0.43
0.42	0.43
0.44	0.5
0.43	0.47
0.46	0.52
0.49	0.51
0.52	0.5
0.47	0.51
0.43	0.41
0.43	0.49
0.53	0.44
0.47	0.45
0.52	0.5
0.57	0.53
0.44	0.52
0.5	0.49
0.5	0.43
0.42	0.51
0.52	0.46
0.44	0.57
0.44	0.53
0.52	0.45
0.48	0.51
0.51	0.44
0.5	0.52
0.41	0.37
0.44	0.47
0.47	0.45
0.47	0.43
0.45	0.45
0.53	0.46
0.41	0.48
0.51	0.35
0.51	0.46
0.45	0.54
0.44	0.46
0.48	0.51
