End of Run Costs
MLam	STLam
22196.0	22516.0
22256.0	22716.0
22276.0	23216.0
22316.0	22816.0
22216.0	22436.0
22376.0	22636.0
22256.0	22296.0
22516.0	22716.0
22516.0	22476.0
22336.0	22696.0
22356.0	22596.0
21996.0	22276.0
22136.0	22216.0
22456.0	22496.0
22156.0	22676.0
22336.0	22556.0
22416.0	22596.0
22316.0	22656.0
22176.0	22756.0
22616.0	22316.0
22376.0	22636.0
22336.0	22776.0
22396.0	22676.0
22276.0	22536.0
22536.0	22736.0
22116.0	22676.0
22436.0	22816.0
22256.0	22776.0
22236.0	22756.0
22196.0	22416.0
22156.0	22776.0
22296.0	22936.0
22156.0	22576.0
22176.0	22516.0
22316.0	22616.0
22476.0	22476.0
22196.0	22616.0
22136.0	22556.0
22076.0	22416.0
22256.0	22536.0
22476.0	22696.0
22436.0	22496.0
22436.0	22876.0
22136.0	22636.0
22096.0	22296.0
22476.0	22616.0
22196.0	22256.0
22316.0	22876.0
22136.0	22196.0
22316.0	22956.0
22256.0	22796.0
22436.0	22616.0
22236.0	22996.0
22056.0	22436.0
22036.0	22396.0
22296.0	22656.0
22176.0	22676.0
22256.0	22576.0
22396.0	22776.0
22316.0	22596.0
22256.0	22816.0
22176.0	22896.0
22516.0	22216.0
22396.0	22416.0
22396.0	22616.0
22356.0	22576.0
22496.0	22836.0
22336.0	22416.0
22176.0	22836.0
22196.0	22476.0
22256.0	22716.0
22256.0	22356.0
22696.0	22636.0
22556.0	22416.0
22396.0	22556.0
22216.0	22716.0
22216.0	22756.0
22236.0	22436.0
22116.0	22396.0
22056.0	22296.0
22436.0	22576.0
22536.0	22536.0
22336.0	22456.0
22396.0	22396.0
22276.0	22516.0
22316.0	22656.0
22456.0	22756.0
22356.0	22516.0
22076.0	22516.0
22396.0	22516.0
22256.0	22456.0
22216.0	22456.0
22336.0	22836.0
22216.0	22496.0
22276.0	22656.0
22316.0	22536.0
22096.0	22776.0
22376.0	22916.0
22236.0	22576.0
22216.0	22536.0
Acceptance Rate
0.6	1.0
0.98	0.71
0.74	0.77
0.72	0.68
0.68	0.65
0.65	0.63
0.59	0.6
0.59	0.59
0.53	0.49
0.53	0.5
0.56	0.5
0.45	0.51
0.5	0.5
0.4	0.53
0.52	0.44
0.42	0.36
0.51	0.5
0.59	0.51
0.41	0.37
0.44	0.44
0.54	0.42
0.53	0.41
0.44	0.43
0.37	0.45
0.48	0.4
0.4	0.46
0.38	0.41
0.44	0.38
0.42	0.46
0.4	0.34
0.38	0.48
0.43	0.42
0.45	0.35
0.39	0.43
0.36	0.41
0.47	0.41
0.39	0.52
0.49	0.45
0.44	0.45
0.47	0.39
0.47	0.39
0.43	0.49
0.46	0.4
0.36	0.49
0.45	0.39
0.39	0.44
0.45	0.49
0.38	0.47
0.41	0.53
0.47	0.43
0.4	0.51
0.36	0.41
0.41	0.4
0.36	0.39
0.46	0.38
0.44	0.44
0.45	0.47
0.38	0.5
0.36	0.45
0.55	0.42
0.44	0.44
0.48	0.45
0.56	0.44
0.53	0.45
0.48	0.44
0.48	0.47
0.41	0.36
0.4	0.47
0.41	0.5
0.44	0.51
0.42	0.37
0.41	0.48
0.48	0.44
0.49	0.52
0.44	0.4
0.44	0.44
0.44	0.39
0.39	0.51
0.39	0.49
0.4	0.41
0.43	0.47
0.39	0.47
0.38	0.45
0.41	0.47
0.41	0.42
0.42	0.44
0.45	0.44
0.42	0.47
0.42	0.43
0.37	0.42
0.45	0.46
0.43	0.38
0.48	0.48
0.44	0.4
0.5	0.53
0.44	0.42
0.4	0.51
0.41	0.42
0.42	0.42
0.38	0.5
0.51	0.43
0.37	0.45
0.43	0.46
0.48	0.46
0.44	0.48
0.5	0.43
0.45	0.53
0.45	0.46
0.47	0.43
0.44	0.37
0.43	0.5
0.42	0.37
0.45	0.49
0.55	0.44
0.52	0.4
0.43	0.37
0.42	0.36
0.48	0.46
0.42	0.37
0.39	0.49
0.42	0.44
0.44	0.42
0.42	0.46
0.4	0.52
0.47	0.59
0.4	0.39
0.46	0.48
0.44	0.54
0.42	0.39
0.46	0.48
0.44	0.44
0.4	0.4
0.48	0.38
0.36	0.35
0.26	0.25
0.22	0.29
0.27	0.19
0.27	0.22
0.27	0.25
0.18	0.18
0.18	0.16
0.14	0.21
0.21	0.28
0.2	0.22
0.24	0.24
0.3	0.19
0.18	0.22
0.2	0.21
0.18	0.25
0.19	0.21
0.25	0.16
0.18	0.28
0.21	0.17
0.23	0.26
0.12	0.11
0.19	0.2
0.2	0.29
0.15	0.33
0.22	0.13
0.19	0.23
0.21	0.23
0.27	0.19
0.17	0.18
0.22	0.2
0.12	0.17
0.13	0.21
0.2	0.2
0.17	0.23
0.23	0.23
0.26	0.22
0.2	0.24
0.18	0.23
0.28	0.19
0.18	0.15
0.25	0.16
0.15	0.27
0.18	0.22
0.22	0.2
0.22	0.31
0.2	0.21
0.22	0.21
0.21	0.15
0.19	0.24
0.17	0.21
0.2	0.18
0.27	0.19
0.17	0.11
0.19	0.19
0.19	0.15
0.24	0.2
0.2	0.29
0.21	0.22
0.2	0.26
0.17	0.19
0.23	0.2
0.16	0.24
0.18	0.25
0.17	0.16
0.18	0.19
0.27	0.25
0.16	0.2
