End of Run Costs
MLam	STLam
692.0	752.0
692.0	732.0
652.0	874.0
732.0	752.0
692.0	814.0
752.0	792.0
692.0	832.0
672.0	792.0
752.0	732.0
774.0	732.0
712.0	732.0
692.0	874.0
832.0	812.0
672.0	854.0
692.0	752.0
834.0	834.0
774.0	792.0
672.0	732.0
652.0	752.0
814.0	712.0
692.0	772.0
692.0	834.0
692.0	752.0
692.0	752.0
774.0	732.0
834.0	792.0
834.0	834.0
672.0	812.0
672.0	712.0
692.0	812.0
652.0	772.0
794.0	854.0
794.0	894.0
712.0	914.0
774.0	752.0
692.0	752.0
794.0	752.0
794.0	914.0
712.0	692.0
794.0	752.0
672.0	792.0
774.0	772.0
672.0	752.0
672.0	772.0
652.0	812.0
874.0	874.0
732.0	732.0
834.0	894.0
712.0	752.0
814.0	792.0
712.0	834.0
794.0	752.0
692.0	792.0
652.0	832.0
834.0	792.0
692.0	732.0
652.0	812.0
732.0	712.0
692.0	772.0
692.0	712.0
814.0	752.0
774.0	732.0
672.0	832.0
814.0	772.0
774.0	874.0
732.0	812.0
794.0	752.0
672.0	752.0
774.0	834.0
692.0	712.0
672.0	834.0
632.0	772.0
672.0	752.0
652.0	752.0
672.0	752.0
692.0	752.0
752.0	752.0
834.0	732.0
672.0	732.0
672.0	792.0
732.0	712.0
712.0	672.0
672.0	732.0
794.0	792.0
692.0	772.0
794.0	732.0
774.0	732.0
712.0	752.0
774.0	752.0
794.0	812.0
672.0	752.0
672.0	772.0
712.0	752.0
774.0	732.0
692.0	752.0
692.0	752.0
814.0	792.0
692.0	772.0
712.0	752.0
652.0	772.0
Acceptance Rate
0.65	1.0
0.45	0.85
0.38	0.71
0.41	0.68
0.31	0.69
0.25	0.65
0.24	0.55
0.21	0.52
0.23	0.44
0.23	0.55
0.29	0.5
0.25	0.42
0.17	0.47
0.31	0.57
0.15	0.44
0.22	0.42
0.25	0.53
0.26	0.34
0.23	0.44
0.18	0.39
0.22	0.37
0.25	0.34
0.17	0.49
0.15	0.39
0.15	0.53
0.18	0.44
0.22	0.45
0.22	0.41
0.27	0.4
0.18	0.37
0.21	0.35
0.23	0.47
0.28	0.37
0.28	0.39
0.23	0.37
0.28	0.36
0.28	0.43
0.3	0.41
0.25	0.39
0.25	0.4
0.23	0.46
0.22	0.45
0.3	0.42
0.39	0.39
0.33	0.46
0.33	0.42
0.28	0.41
0.3	0.51
0.28	0.47
0.37	0.4
0.38	0.36
0.44	0.33
0.48	0.45
0.36	0.57
0.45	0.36
0.44	0.53
0.47	0.5
0.45	0.4
0.54	0.48
0.58	0.42
0.47	0.57
0.53	0.51
0.59	0.44
0.54	0.46
0.61	0.4
0.53	0.35
0.58	0.4
0.52	0.46
0.52	0.39
0.52	0.52
0.46	0.43
0.58	0.45
0.49	0.41
0.48	0.44
0.4	0.41
0.42	0.4
0.39	0.44
0.37	0.38
0.4	0.43
0.34	0.47
0.41	0.53
0.5	0.42
0.43	0.42
0.32	0.49
0.42	0.41
0.39	0.43
0.37	0.46
0.41	0.43
0.32	0.44
0.33	0.44
0.4	0.31
0.41	0.43
0.41	0.55
0.38	0.51
0.41	0.41
0.46	0.47
0.4	0.5
0.35	0.5
0.5	0.49
0.48	0.46
0.48	0.56
0.46	0.42
0.4	0.44
0.46	0.3
0.47	0.46
0.46	0.51
0.51	0.45
0.49	0.46
0.4	0.4
0.47	0.53
0.41	0.44
0.48	0.34
0.46	0.46
0.45	0.47
0.45	0.38
0.37	0.41
0.49	0.6
0.43	0.46
0.37	0.45
0.4	0.41
0.46	0.47
0.44	0.41
0.41	0.53
0.39	0.51
0.49	0.38
0.41	0.44
0.43	0.41
0.49	0.45
0.4	0.5
0.41	0.37
0.42	0.39
0.39	0.38
0.47	0.3
0.32	0.34
0.52	0.31
0.47	0.27
0.39	0.2
0.44	0.23
0.3	0.26
0.39	0.24
0.28	0.25
0.45	0.24
0.34	0.19
0.36	0.21
0.27	0.19
0.3	0.21
0.32	0.24
0.25	0.18
0.27	0.21
0.24	0.2
0.21	0.24
0.29	0.14
0.19	0.21
0.21	0.18
0.24	0.23
0.28	0.11
0.21	0.23
0.28	0.19
0.24	0.25
0.26	0.23
0.21	0.17
0.19	0.15
0.21	0.21
0.17	0.18
0.2	0.22
0.23	0.22
0.23	0.21
0.2	0.27
0.19	0.14
0.26	0.18
0.17	0.2
0.16	0.17
0.3	0.19
0.22	0.18
0.14	0.16
0.2	0.22
0.23	0.15
0.14	0.24
0.22	0.25
0.21	0.16
0.21	0.19
0.19	0.27
0.21	0.19
0.15	0.28
0.22	0.2
0.19	0.18
0.13	0.19
0.17	0.2
0.19	0.17
0.22	0.19
0.18	0.13
0.15	0.2
0.16	0.23
0.15	0.12
0.21	0.17
0.16	0.18
0.25	0.14
0.18	0.23
0.22	0.19
0.23	0.13
0.28	0.22
