End of Run Costs
MLam	STLam
0	1
0	0
1	0
0	1
0	1
0	0
0	1
0	1
1	1
1	0
1	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
1	2
0	1
1	0
1	0
0	1
1	0
0	0
0	1
0	2
1	1
0	0
0	1
0	3
0	1
2	1
1	1
2	0
0	0
0	0
0	1
0	0
1	0
1	0
1	0
0	0
0	0
0	1
0	0
1	1
0	1
0	0
2	1
0	1
1	1
0	1
1	1
0	2
1	0
1	3
0	2
0	1
2	0
1	1
0	1
0	1
0	1
1	2
0	0
0	1
0	2
1	0
0	0
0	1
0	0
1	2
0	0
0	0
1	1
1	0
0	0
1	0
0	0
0	1
1	1
0	1
0	0
2	0
1	0
2	2
1	1
1	1
1	1
1	0
1	0
0	1
0	1
0	2
2	0
1	1
Acceptance Rate
0.57	1.0
0.6	0.74
0.65	0.75
0.78	0.7
0.74	0.58
0.71	0.61
0.47	0.59
0.57	0.57
0.49	0.61
0.45	0.42
0.46	0.61
0.47	0.55
0.31	0.43
0.5	0.49
0.48	0.44
0.45	0.49
0.52	0.45
0.49	0.56
0.45	0.43
0.43	0.5
0.5	0.47
0.49	0.41
0.43	0.47
0.42	0.38
0.4	0.43
0.4	0.41
0.37	0.46
0.51	0.42
0.46	0.4
0.46	0.47
0.44	0.43
0.48	0.43
0.41	0.38
0.38	0.53
0.54	0.45
0.45	0.41
0.52	0.42
0.35	0.41
0.41	0.42
0.46	0.42
0.43	0.41
0.37	0.46
0.42	0.5
0.41	0.5
0.42	0.43
0.39	0.42
0.47	0.49
0.48	0.43
0.51	0.39
0.41	0.42
0.52	0.47
0.35	0.39
0.41	0.48
0.38	0.54
0.46	0.52
0.46	0.57
0.48	0.42
0.37	0.42
0.41	0.51
0.44	0.44
0.37	0.34
0.45	0.49
0.45	0.43
0.52	0.4
0.49	0.56
0.4	0.4
0.31	0.46
0.39	0.41
0.45	0.47
0.44	0.45
0.51	0.38
0.37	0.48
0.41	0.45
0.44	0.46
0.51	0.44
0.48	0.38
0.38	0.43
0.46	0.43
0.43	0.42
0.51	0.35
0.44	0.43
0.48	0.41
0.5	0.44
0.41	0.41
0.39	0.39
0.4	0.41
0.41	0.46
0.42	0.46
0.4	0.41
0.47	0.46
0.4	0.47
0.48	0.46
0.45	0.46
0.47	0.34
0.45	0.39
0.39	0.45
0.47	0.45
0.49	0.45
0.59	0.44
0.43	0.46
0.43	0.48
0.32	0.35
0.32	0.46
0.45	0.38
0.37	0.45
0.43	0.47
0.41	0.44
0.53	0.42
0.46	0.4
0.49	0.57
0.39	0.52
0.52	0.33
0.46	0.5
0.46	0.42
0.43	0.4
0.52	0.4
0.46	0.45
0.38	0.48
0.46	0.42
0.43	0.46
0.48	0.47
0.43	0.41
0.45	0.49
0.41	0.46
0.43	0.47
0.46	0.48
0.41	0.48
0.42	0.5
0.46	0.34
0.45	0.5
0.52	0.53
0.43	0.33
0.37	0.28
0.3	0.28
0.24	0.3
0.19	0.25
0.23	0.25
0.23	0.15
0.13	0.13
0.17	0.16
0.17	0.19
0.17	0.13
0.14	0.15
0.18	0.09
0.11	0.08
0.09	0.09
0.06	0.1
0.07	0.07
0.12	0.06
0.08	0.07
0.06	0.05
0.08	0.03
0.09	0.07
0.03	0.04
0.04	0.02
0.07	0.09
0.05	0.03
0.06	0.02
0.01	0.05
0.02	0.03
0.05	0.04
0.03	0.02
0.03	0.02
0.04	0.02
0.01	0.02
0.03	0.0
0.01	0.01
0.04	0.04
0.01	0.03
0.03	0.03
0.01	0.0
0.02	0.0
0.0	0.02
0.02	0.0
0.0	0.0
0.01	0.0
0.01	0.0
0.02	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.0
0.0	0.0
0.01	0.0
0.0	0.01
0.0	0.0
0.0	0.01
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.0
