End of Run Costs
MLam	STLam
300	1600
200	1800
300	800
200	1300
400	2200
500	1600
400	1600
400	1400
200	2300
200	1000
100	2000
400	2400
100	2000
0	500
300	1800
100	1900
300	1900
200	1500
100	1500
100	1200
100	1500
100	2100
300	1900
100	1700
200	1800
300	1400
100	2300
0	1600
100	1800
400	1000
200	1300
100	1900
200	2000
200	1200
300	1300
200	2100
300	1600
300	1900
100	2200
300	1600
0	1200
0	1500
200	1900
0	1600
400	1200
400	1300
0	1700
100	1300
700	1400
300	1500
100	2100
400	1800
100	1200
0	2200
300	1400
300	1900
400	1800
600	1700
100	1400
100	2000
300	1300
500	2300
300	2000
300	1900
0	1600
100	1500
200	1300
600	1000
200	1400
300	1600
400	1000
300	1600
400	1300
300	1600
100	1800
100	2100
300	1900
0	2200
300	1800
100	2300
200	1200
100	2400
400	1200
300	2300
600	1300
300	2300
300	1600
200	1600
200	1800
100	1900
200	1200
300	2100
100	1700
100	1700
300	1400
300	1500
400	1700
200	2000
0	1900
200	1200
Acceptance Rate
0.46	1.0
0.52	1.0
0.49	1.0
0.46	0.74
0.43	0.77
0.44	0.67
0.46	0.59
0.36	0.66
0.35	0.61
0.52	0.59
0.4	0.57
0.62	0.6
0.3	0.49
0.45	0.46
0.33	0.53
0.41	0.48
0.44	0.49
0.37	0.44
0.31	0.42
0.38	0.42
0.39	0.46
0.34	0.5
0.34	0.52
0.38	0.47
0.37	0.43
0.27	0.39
0.26	0.42
0.38	0.39
0.21	0.35
0.33	0.44
0.28	0.38
0.31	0.36
0.25	0.42
0.25	0.37
0.28	0.48
0.25	0.38
0.26	0.35
0.19	0.43
0.21	0.42
0.19	0.53
0.29	0.37
0.24	0.46
0.23	0.42
0.16	0.46
0.19	0.38
0.18	0.55
0.21	0.38
0.23	0.38
0.24	0.52
0.18	0.46
0.21	0.49
0.16	0.42
0.24	0.44
0.17	0.4
0.19	0.39
0.16	0.48
0.2	0.45
0.19	0.49
0.17	0.41
0.19	0.44
0.15	0.43
0.16	0.4
0.16	0.41
0.13	0.58
0.1	0.45
0.08	0.43
0.14	0.44
0.15	0.48
0.14	0.41
0.09	0.54
0.12	0.43
0.14	0.36
0.19	0.51
0.13	0.52
0.1	0.42
0.08	0.38
0.1	0.43
0.05	0.45
0.12	0.5
0.1	0.51
0.15	0.43
0.11	0.48
0.12	0.45
0.09	0.43
0.09	0.39
0.08	0.46
0.1	0.41
0.1	0.48
0.12	0.49
0.04	0.48
0.09	0.49
0.06	0.46
0.14	0.42
0.08	0.44
0.08	0.46
0.12	0.45
0.07	0.42
0.1	0.36
0.11	0.49
0.09	0.35
0.09	0.46
0.1	0.46
0.08	0.41
0.06	0.48
0.1	0.48
0.11	0.42
0.04	0.45
0.02	0.43
0.07	0.49
0.04	0.51
0.05	0.46
0.06	0.44
0.06	0.45
0.04	0.38
0.04	0.47
0.02	0.52
0.01	0.47
0.04	0.49
0.06	0.49
0.06	0.41
0.04	0.44
0.01	0.42
0.06	0.47
0.03	0.48
0.06	0.45
0.08	0.47
0.06	0.45
0.04	0.44
0.04	0.52
0.03	0.42
0.03	0.41
0.03	0.43
0.05	0.48
0.07	0.4
0.06	0.35
0.01	0.4
0.01	0.38
0.04	0.34
0.02	0.28
0.03	0.28
0.04	0.27
0.01	0.23
0.05	0.25
0.01	0.25
0.03	0.22
0.04	0.15
0.0	0.2
0.01	0.22
0.02	0.15
0.0	0.2
0.03	0.19
0.04	0.17
0.02	0.18
0.03	0.21
0.02	0.05
0.02	0.12
0.05	0.23
0.010101010101010102	0.2
0.04081632653061224	0.16
0.02040816326530612	0.16
0.0	0.11
0.01020408163265306	0.15
0.01020408163265306	0.09
0.01020408163265306	0.16
0.02040816326530612	0.09
0.02040816326530612	0.12
0.0	0.1
0.04081632653061224	0.18
0.0	0.12
0.02040816326530612	0.04
0.0	0.14
0.030612244897959183	0.18
0.0	0.11
0.020618556701030927	0.1
0.030927835051546393	0.12
0.0	0.13
0.020618556701030927	0.14
0.020618556701030927	0.07
0.010309278350515464	0.08
0.010309278350515464	0.05
0.020618556701030927	0.08
0.030927835051546393	0.08
0.010309278350515464	0.09
0.020618556701030927	0.12
0.020618556701030927	0.06
0.020618556701030927	0.12
0.010416666666666666	0.06
0.03125	0.08
0.0	0.07
0.010638297872340425	0.13
0.02127659574468085	0.07
0.010752688172043012	0.15
0.021505376344086023	0.09
0.021505376344086023	0.05
0.0	0.04
0.0	0.06
0.01098901098901099	0.05
0.03296703296703297	0.15
0.022222222222222223	0.02
0.011111111111111112	0.06
0.022222222222222223	0.1
