End of Run Costs
MLam	STLam
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
2000.0	2000.0
Acceptance Rate
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
