End of Run Costs
MLam	STLam
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
2560.0	2560.0
Acceptance Rate
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
