End of Run Costs
MLam	STLam
6180	6460
6200	6800
5740	6780
6360	6640
6300	6420
6220	6780
5580	6520
6140	6720
6060	6500
5880	6580
6100	6740
5980	6860
5980	6820
5760	6800
5740	6620
5860	7000
5880	6320
6080	6680
6320	6860
6120	6600
6000	6680
6260	6680
5980	6480
5980	6380
5680	6280
6100	6460
5660	6920
6060	6740
5700	6380
6000	6820
6020	6740
6020	6360
6360	6780
6000	6720
5880	6740
5940	6580
6220	6460
6080	6800
5980	6500
6080	6780
6280	6860
6080	6860
5680	6980
6000	6380
6280	6780
6460	6560
5960	6780
5800	6780
6260	6880
5940	6860
6220	6820
6080	6880
5940	6820
6360	6940
5800	6360
6100	6640
5880	6780
5920	6680
6020	6440
5920	6480
5940	6580
5880	7120
6080	6540
5980	6620
6000	6060
5460	6620
6140	6140
6240	6920
6060	6880
6220	6480
6220	6560
6140	6700
6380	6560
6060	6660
6060	6820
6000	6580
5940	6440
6280	6560
6040	6540
6060	6740
5880	6640
6360	6900
6220	6580
5740	6660
5720	6640
5820	6560
6380	6520
5780	6660
6360	6980
5420	6720
5920	6560
5960	6180
6060	6560
6460	6140
6000	6320
6200	6960
5960	6460
5700	6480
6160	6260
6240	6500
Acceptance Rate
0.42	1.0
0.0	0.59
0.01	0.75
0.05	0.7
0.25	0.64
0.31	0.54
0.45	0.5
0.7	0.6
0.7	0.46
0.43	0.45
0.46	0.47
0.52	0.46
0.45	0.49
0.37	0.47
0.5	0.49
0.48	0.42
0.44	0.51
0.49	0.48
0.47	0.43
0.44	0.42
0.48	0.57
0.38	0.4
0.36	0.47
0.47	0.35
0.43	0.44
0.37	0.43
0.48	0.47
0.36	0.49
0.4	0.44
0.45	0.45
0.44	0.44
0.46	0.42
0.48	0.47
0.41	0.47
0.47	0.41
0.47	0.47
0.44	0.53
0.36	0.47
0.45	0.46
0.43	0.47
0.46	0.47
0.45	0.47
0.48	0.38
0.43	0.45
0.39	0.5
0.44	0.41
0.44	0.49
0.44	0.45
0.35	0.47
0.34	0.47
0.46	0.43
0.48	0.46
0.55	0.45
0.37	0.47
0.4	0.37
0.45	0.36
0.43	0.4
0.47	0.51
0.48	0.49
0.41	0.45
0.36	0.56
0.42	0.36
0.44	0.48
0.38	0.45
0.44	0.4
0.47	0.45
0.4	0.5
0.43	0.46
0.41	0.39
0.41	0.44
0.38	0.52
0.45	0.46
0.45	0.42
0.36	0.41
0.41	0.47
0.46	0.51
0.45	0.44
0.36	0.54
0.5	0.48
0.41	0.43
0.42	0.42
0.38	0.44
0.38	0.5
0.44	0.45
0.42	0.43
0.46	0.38
0.36	0.54
0.4	0.4
0.42	0.46
0.41	0.54
0.5	0.4
0.49	0.5
0.45	0.39
0.52	0.46
0.48	0.47
0.45	0.4
0.52	0.47
0.37	0.42
0.51	0.49
0.51	0.39
0.39	0.36
0.51	0.37
0.44	0.52
0.41	0.38
0.43	0.45
0.4	0.5
0.54	0.48
0.44	0.47
0.48	0.49
0.45	0.48
0.44	0.45
0.44	0.39
0.4	0.45
0.36	0.47
0.41	0.33
0.57	0.47
0.47	0.4
0.4	0.42
0.45	0.46
0.4	0.44
0.29	0.48
0.49	0.5
0.56	0.4
0.42	0.39
0.51	0.47
0.44	0.52
0.41	0.33
0.49	0.42
0.5	0.48
0.43	0.4
0.47	0.44
0.42	0.33
0.37	0.34
0.28	0.34
0.27	0.15
0.24	0.34
0.25	0.21
0.19	0.2
0.13	0.2
0.19	0.22
0.15	0.2
0.12	0.18
0.12	0.13
0.16	0.14
0.09	0.1
0.08	0.09
0.09	0.06
0.11	0.06
0.12	0.1
0.07	0.1
0.07	0.08
0.05	0.03
0.06	0.1
0.04	0.09
0.08	0.07
0.04	0.05
0.06	0.04
0.05	0.07
0.01	0.01
0.04	0.02
0.06	0.03
0.05	0.0
0.03	0.05
0.01	0.04
0.02	0.01
0.01	0.0
0.01	0.02
0.03	0.02
0.03	0.05
0.0	0.01
0.01	0.01
0.03	0.0
0.01	0.01
0.01	0.0
0.02	0.02
0.01	0.01
0.0	0.02
0.0	0.01
0.0	0.01
0.01	0.0
0.0	0.0
0.01	0.01
0.0	0.0
0.0	0.0
0.0	0.0
0.02	0.0
0.01	0.0
0.0	0.0
0.0	0.01
0.02	0.0
0.02	0.0
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.0
0.0	0.01
0.0	0.0
0.0	0.0
0.01	0.0
0.0	0.0
0.01	0.0
