End of Run Costs
MLam	STLam
980	460
820	660
980	540
1020	520
1120	560
1040	480
1020	500
880	560
1080	620
1000	600
980	520
1080	540
940	520
900	580
1160	460
1100	480
860	400
1060	620
980	620
1000	560
980	540
1060	600
980	560
1020	620
960	540
960	500
980	580
1060	560
900	580
980	560
1020	500
1000	500
820	700
900	560
900	520
1060	560
960	540
960	480
900	600
1060	520
960	640
980	520
960	380
960	560
820	500
900	600
1020	520
960	540
1000	520
1000	480
1100	560
960	640
1040	580
1040	460
1000	480
1020	540
1060	520
960	560
1080	520
900	500
960	560
1080	660
1020	540
920	580
900	580
1060	640
960	600
980	580
1020	620
920	480
1040	540
980	520
1080	620
1140	480
960	620
1040	500
860	560
960	600
1060	480
980	600
940	680
940	520
880	580
1080	520
1040	560
980	540
980	560
960	600
1040	580
980	480
980	480
880	460
1040	500
1000	520
1100	560
1100	540
960	600
980	620
960	500
860	500
Acceptance Rate
0.57	1.0
0.0	1.0
0.0	1.0
0.0	0.7
0.0	0.82
0.0	0.69
0.0	0.66
0.0	0.61
0.0	0.59
0.0	0.51
0.0	0.55
0.0	0.51
0.0	0.5
0.0	0.5
0.0	0.46
0.0	0.43
0.0	0.47
0.0	0.42
0.0	0.37
0.0	0.41
0.0	0.42
0.0	0.52
0.0	0.51
0.0	0.53
0.0	0.41
0.0	0.44
0.0	0.41
0.0	0.44
0.0	0.38
0.0	0.52
0.0	0.38
0.0	0.36
0.0	0.46
0.0	0.38
0.0	0.44
0.0	0.39
0.0	0.5
0.0	0.44
0.0	0.42
0.01	0.46
0.0	0.38
0.0	0.41
0.0	0.46
0.0	0.55
0.0	0.38
0.0	0.43
0.0	0.35
0.0	0.48
0.0	0.46
0.0	0.44
0.0	0.42
0.0	0.57
0.0	0.46
0.0	0.4
0.0	0.45
0.0	0.43
0.0	0.41
0.0	0.47
0.0	0.37
0.0	0.49
0.0	0.39
0.0	0.55
0.01	0.48
0.0	0.47
0.0	0.44
0.0	0.4
0.0	0.48
0.0	0.42
0.0	0.4
0.0	0.43
0.0	0.4
0.0	0.48
0.0	0.41
0.0	0.54
0.0	0.4
0.0	0.44
0.0	0.46
0.0	0.51
0.01	0.44
0.0	0.37
0.0	0.56
0.0	0.44
0.0	0.34
0.01	0.46
0.0	0.44
0.0	0.45
0.0	0.42
0.0	0.43
0.0	0.45
0.0	0.45
0.0	0.43
0.0	0.37
0.0	0.43
0.0	0.48
0.0	0.44
0.0	0.53
0.0	0.35
0.0	0.38
0.0	0.47
0.0	0.35
0.0	0.46
0.0	0.39
0.0	0.38
0.0	0.43
0.0	0.41
0.01	0.51
0.01	0.54
0.0	0.43
0.0	0.43
0.0	0.43
0.0	0.44
0.0	0.4
0.0	0.43
0.0	0.42
0.0	0.48
0.0	0.43
0.0	0.46
0.0	0.38
0.01	0.4
0.01	0.52
0.0	0.39
0.0	0.51
0.0	0.48
0.0	0.45
0.01	0.52
0.01	0.37
0.0	0.48
0.01	0.41
0.0	0.44
0.01	0.41
0.0	0.48
0.01	0.46
0.0	0.43
0.0	0.43
0.0	0.37
0.02	0.35
0.0	0.32
0.0	0.3
0.0	0.31
0.0	0.26
0.01	0.22
0.01	0.23
0.0	0.15
0.01	0.26
0.02	0.18
0.01	0.14
0.01	0.16
0.01	0.17
0.0	0.19
0.02	0.18
0.0	0.11
0.01	0.11
0.0	0.22
0.01	0.11
0.01	0.09
0.0	0.06
0.0	0.11
0.01	0.13
0.0	0.08
0.0	0.07
0.0	0.15
0.01	0.07
0.0	0.1
0.0	0.11
0.0	0.11
0.02	0.07
0.0	0.02
0.02	0.11
0.0	0.12
0.01	0.06
0.01	0.1
0.0	0.08
0.02	0.04
0.02	0.05
0.0	0.04
0.0	0.06
0.0	0.07
0.0	0.05
0.0	0.06
0.01	0.08
0.01	0.07
0.0	0.08
0.0	0.07
0.0	0.05
0.0	0.03
0.0	0.04
0.01	0.06
0.0	0.1
0.0	0.05
0.0	0.05
0.01	0.05
0.0	0.04
0.0	0.06
0.0	0.03
0.0	0.05
0.0	0.09
0.0	0.06
0.0	0.07
0.01	0.05
0.0	0.03
0.0	0.08
