End of Run Costs
MLam	STLam
40	60
60	60
40	100
60	20
40	40
40	80
40	80
40	60
80	80
60	60
40	80
40	80
80	80
40	60
40	80
40	60
60	80
60	80
40	80
40	80
40	80
40	60
60	40
60	60
60	80
60	80
60	80
60	60
60	60
40	40
40	60
40	60
40	80
60	40
40	80
60	60
40	80
20	60
80	40
60	60
60	60
60	40
40	40
40	80
40	40
40	60
80	100
60	40
60	60
40	40
40	60
60	60
40	60
60	60
60	40
20	60
60	60
80	80
60	80
60	60
40	20
40	60
60	80
40	80
80	60
60	60
20	80
40	80
60	80
40	40
60	60
80	80
40	80
40	60
40	60
40	60
60	60
40	60
40	40
40	40
20	100
80	100
20	40
40	80
40	40
40	40
20	80
60	60
60	40
80	60
60	80
20	60
60	80
60	60
60	80
40	60
80	60
80	60
40	60
40	40
Acceptance Rate
0.51	1.0
0.93	0.59
0.81	0.53
0.76	0.61
0.61	0.63
0.61	0.54
0.55	0.61
0.57	0.6
0.62	0.49
0.52	0.43
0.51	0.5
0.44	0.49
0.47	0.51
0.44	0.49
0.52	0.48
0.46	0.46
0.43	0.47
0.47	0.52
0.34	0.41
0.53	0.39
0.54	0.45
0.51	0.44
0.42	0.37
0.58	0.49
0.45	0.45
0.42	0.38
0.45	0.48
0.5	0.46
0.43	0.5
0.43	0.45
0.51	0.44
0.49	0.52
0.39	0.49
0.37	0.42
0.51	0.43
0.41	0.37
0.47	0.48
0.51	0.33
0.34	0.44
0.44	0.51
0.46	0.36
0.43	0.42
0.42	0.44
0.46	0.41
0.43	0.44
0.35	0.41
0.36	0.47
0.43	0.41
0.39	0.44
0.36	0.47
0.42	0.45
0.41	0.52
0.4	0.48
0.46	0.46
0.43	0.47
0.42	0.38
0.39	0.46
0.37	0.48
0.55	0.47
0.43	0.53
0.44	0.43
0.49	0.45
0.39	0.35
0.45	0.48
0.42	0.33
0.45	0.4
0.35	0.39
0.51	0.45
0.51	0.46
0.49	0.39
0.48	0.46
0.48	0.49
0.44	0.49
0.42	0.44
0.54	0.48
0.43	0.42
0.4	0.44
0.46	0.39
0.4	0.38
0.46	0.44
0.44	0.46
0.52	0.43
0.39	0.38
0.45	0.39
0.46	0.46
0.5	0.49
0.5	0.44
0.51	0.41
0.38	0.49
0.45	0.41
0.39	0.37
0.39	0.49
0.47	0.57
0.44	0.3
0.44	0.41
0.45	0.37
0.37	0.45
0.38	0.47
0.35	0.56
0.36	0.41
0.42	0.42
0.51	0.47
0.43	0.51
0.41	0.31
0.49	0.36
0.45	0.4
0.37	0.44
0.37	0.43
0.33	0.39
0.37	0.44
0.41	0.39
0.48	0.48
0.45	0.45
0.41	0.46
0.35	0.47
0.31	0.45
0.45	0.45
0.51	0.44
0.38	0.47
0.47	0.45
0.45	0.44
0.46	0.39
0.46	0.46
0.38	0.43
0.48	0.45
0.37	0.45
0.46	0.38
0.48	0.49
0.49	0.4
0.46	0.43
0.47	0.41
0.44	0.34
0.43	0.36
0.28	0.3
0.29	0.24
0.24	0.2
0.33	0.24
0.21	0.25
0.24	0.23
0.21	0.15
0.17	0.19
0.17	0.14
0.24	0.19
0.1	0.14
0.15	0.12
0.11	0.13
0.08	0.08
0.11	0.07
0.1	0.11
0.09	0.05
0.06	0.06
0.05	0.07
0.06	0.09
0.05	0.08
0.06	0.07
0.07	0.04
0.07	0.1
0.03	0.03
0.05	0.03
0.05	0.04
0.03	0.01
0.02	0.03
0.02	0.01
0.02	0.04
0.02	0.04
0.01	0.01
0.01	0.02
0.02	0.01
0.03	0.0
0.02	0.0
0.03	0.01
0.03	0.01
0.02	0.02
0.0	0.01
0.01	0.01
0.01	0.02
0.02	0.01
0.0	0.0
0.01	0.0
0.0	0.0
0.0	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.0	0.0
0.01	0.02
0.01	0.0
0.0	0.0
0.0	0.0
0.01	0.01
0.0	0.0
0.0	0.0
0.0	0.01
0.02	0.0
0.01	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
