End of Run Costs
MLam	STLam
380	620
380	520
420	560
400	480
440	620
360	620
440	540
500	580
340	560
460	580
500	580
480	600
440	740
360	600
320	620
380	580
520	680
520	420
400	560
480	560
480	700
420	660
440	600
400	420
420	620
460	500
480	500
480	640
440	640
360	640
440	640
400	640
440	600
320	520
440	480
480	620
340	660
500	460
480	620
340	560
540	620
360	560
320	560
440	620
360	560
420	500
380	620
380	740
480	600
400	520
500	600
420	540
460	700
340	620
400	580
500	520
440	620
500	580
400	660
360	660
360	580
460	560
360	580
440	620
520	660
420	520
380	600
440	560
420	580
440	600
460	560
440	440
420	600
440	500
420	700
420	520
340	520
460	580
480	600
380	560
380	560
360	460
440	600
360	520
440	580
440	660
380	480
420	660
400	620
420	620
500	520
420	540
460	540
380	680
380	520
420	560
400	620
360	620
500	400
400	560
Acceptance Rate
0.51	1.0
0.0	0.66
0.0	0.79
0.0	0.59
0.0	0.61
0.0	0.75
0.0	0.54
0.0	0.54
0.0	0.53
0.0	0.61
0.01	0.46
0.0	0.44
0.0	0.43
0.0	0.4
0.0	0.56
0.0	0.49
0.03	0.43
0.0	0.46
0.02	0.48
0.02	0.45
0.02	0.38
0.03	0.47
0.05	0.42
0.04	0.44
0.04	0.45
0.01	0.44
0.05	0.37
0.06	0.39
0.06	0.49
0.07	0.42
0.09	0.53
0.1	0.42
0.13	0.37
0.06	0.45
0.13	0.44
0.17	0.5
0.12	0.51
0.14	0.39
0.17	0.44
0.19	0.36
0.18	0.46
0.16	0.48
0.21	0.47
0.22	0.47
0.2	0.37
0.25	0.44
0.23	0.39
0.22	0.46
0.21	0.4
0.15	0.43
0.21	0.53
0.26	0.38
0.21	0.44
0.33	0.4
0.23	0.47
0.25	0.41
0.27	0.42
0.27	0.46
0.32	0.5
0.3	0.38
0.28	0.49
0.41	0.4
0.38	0.55
0.42	0.53
0.42	0.43
0.38	0.41
0.45	0.46
0.54	0.46
0.58	0.42
0.46	0.36
0.55	0.45
0.56	0.4
0.56	0.46
0.66	0.47
0.56	0.4
0.61	0.46
0.56	0.37
0.6	0.44
0.59	0.36
0.51	0.47
0.53	0.46
0.43	0.44
0.53	0.41
0.43	0.42
0.37	0.4
0.47	0.42
0.4	0.37
0.27	0.43
0.36	0.39
0.41	0.44
0.38	0.36
0.47	0.45
0.35	0.42
0.36	0.42
0.3	0.52
0.46	0.4
0.42	0.52
0.43	0.38
0.44	0.48
0.39	0.41
0.4	0.57
0.46	0.45
0.44	0.44
0.54	0.54
0.51	0.4
0.42	0.45
0.54	0.47
0.43	0.39
0.39	0.47
0.49	0.4
0.49	0.4
0.44	0.45
0.46	0.44
0.37	0.44
0.49	0.54
0.47	0.5
0.48	0.44
0.53	0.44
0.44	0.39
0.53	0.42
0.4	0.48
0.41	0.42
0.39	0.49
0.4	0.45
0.43	0.51
0.45	0.42
0.33	0.4
0.44	0.43
0.48	0.52
0.45	0.54
0.5	0.43
0.38	0.41
0.48	0.42
0.4	0.3
0.43	0.26
0.42	0.26
0.38	0.25
0.32	0.2
0.43	0.21
0.32	0.17
0.31	0.25
0.22	0.19
0.26	0.12
0.33	0.13
0.21	0.09
0.23	0.12
0.21	0.11
0.22	0.12
0.18	0.1
0.11	0.1
0.13	0.1
0.15	0.08
0.13	0.07
0.16	0.08
0.12	0.05
0.07	0.05
0.08	0.05
0.04	0.02
0.08	0.03
0.05	0.05
0.11	0.03
0.04	0.04
0.08	0.03
0.06	0.02
0.04	0.03
0.04	0.03
0.03	0.05
0.02	0.04
0.03	0.0
0.03	0.01
0.0	0.06
0.03	0.01
0.01	0.0
0.01	0.01
0.0	0.02
0.03	0.01
0.0	0.01
0.02	0.02
0.0	0.01
0.01	0.0
0.01	0.02
0.01	0.0
0.0	0.05
0.0	0.03
0.0	0.01
0.0	0.0
0.01	0.0
0.0	0.02
0.0	0.02
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.03
0.0	0.0
0.0	0.01
