Statistical Analysis: data/timing.txt
Length 	muT1	muT2	devT1	devT2	N	t-cpu	P-cpu
   4000	0.00016	0.00016	0.00156	0.00156	100	0.00	1
   8000	0.00047	0.00047	0.00268	0.00268	100	0.00	1
  32000	0.00141	0.00172	0.00449	0.00491	100	-0.47	0.64
  64000	0.00328	0.00297	0.00640	0.00616	100	0.35	0.73
 128000	0.00594	0.00578	0.00762	0.00758	100	0.15	0.88
 256000	0.01250	0.01219	0.00628	0.00651	100	0.35	0.73
 512000	0.02516	0.02422	0.00766	0.00781	100	0.86	0.39
1024000	0.10031	0.04844	0.00775	0.00471	100	57.19	5.8e-110
2048000	0.33656	0.09734	0.00814	0.00697	100	223.27	2.4e-235
4096000	0.81000	0.19312	0.00617	0.00786	100	617.41	4.7e-312
8192000	1.75219	0.38906	0.00801	0.00955	100	1093.26	0
