      L	        cpu1	        cpu2
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	   156250.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   1000	        0.00	   156250.00
   1000	        0.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	   156250.00	        0.00
   2000	   156250.00	        0.00
   2000	   156250.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   2000	        0.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   312500.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   156250.00	   156250.00
   4000	   312500.00	   156250.00
   4000	   156250.00	   156250.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   468750.00	   312500.00
   8000	   312500.00	   468750.00
   8000	   312500.00	   312500.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   625000.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   625000.00
  16000	   781250.00	   781250.00
  16000	   781250.00	   781250.00
