End of Run Costs
MLam	STLam
16405.333333333332	16394.666666666668
16394.666666666668	16394.666666666668
16405.333333333332	16426.666666666668
16394.666666666668	16384.0
16437.333333333332	16384.0
16416.0	16394.666666666668
16405.333333333332	16405.333333333332
16394.666666666668	16384.0
16394.666666666668	16394.666666666668
16437.333333333332	16394.666666666668
16416.0	16405.333333333332
16394.666666666668	16384.0
16405.333333333332	16394.666666666668
16405.333333333332	16394.666666666668
16437.333333333332	16384.0
16416.0	16384.0
16416.0	16384.0
16405.333333333332	16405.333333333332
16405.333333333332	16384.0
16405.333333333332	16394.666666666668
16416.0	16394.666666666668
16416.0	16405.333333333332
16416.0	16405.333333333332
16394.666666666668	16394.666666666668
16405.333333333332	16384.0
16405.333333333332	16416.0
16394.666666666668	16384.0
16426.666666666668	16394.666666666668
16394.666666666668	16384.0
16426.666666666668	16384.0
16384.0	16405.333333333332
16384.0	16416.0
16416.0	16394.666666666668
16405.333333333332	16384.0
16416.0	16416.0
16426.666666666668	16394.666666666668
16416.0	16394.666666666668
16394.666666666668	16394.666666666668
16426.666666666668	16384.0
16416.0	16394.666666666668
16405.333333333332	16384.0
16416.0	16394.666666666668
16416.0	16384.0
16394.666666666668	16394.666666666668
16405.333333333332	16405.333333333332
16394.666666666668	16405.333333333332
16416.0	16384.0
16416.0	16394.666666666668
16416.0	16394.666666666668
16437.333333333332	16394.666666666668
16416.0	16394.666666666668
16416.0	16394.666666666668
16416.0	16405.333333333332
16416.0	16394.666666666668
16426.666666666668	16394.666666666668
16416.0	16394.666666666668
16416.0	16394.666666666668
16416.0	16384.0
16384.0	16394.666666666668
16416.0	16405.333333333332
16416.0	16394.666666666668
16405.333333333332	16405.333333333332
16394.666666666668	16394.666666666668
16426.666666666668	16405.333333333332
16416.0	16405.333333333332
16426.666666666668	16394.666666666668
16416.0	16394.666666666668
16426.666666666668	16394.666666666668
16416.0	16405.333333333332
16384.0	16405.333333333332
16394.666666666668	16416.0
16405.333333333332	16384.0
16384.0	16394.666666666668
16416.0	16384.0
16416.0	16394.666666666668
16426.666666666668	16384.0
16405.333333333332	16405.333333333332
16405.333333333332	16394.666666666668
16405.333333333332	16384.0
16405.333333333332	16394.666666666668
16416.0	16394.666666666668
16426.666666666668	16384.0
16394.666666666668	16384.0
16405.333333333332	16394.666666666668
16394.666666666668	16394.666666666668
16405.333333333332	16416.0
16416.0	16394.666666666668
16394.666666666668	16394.666666666668
16426.666666666668	16394.666666666668
16426.666666666668	16394.666666666668
16405.333333333332	16384.0
16405.333333333332	16394.666666666668
16416.0	16405.333333333332
