End of Run Costs
MLam	STLam
533.3333333333334	650.6666666666666
544.0	768.0
554.6666666666666	661.3333333333334
544.0	704.0
522.6666666666666	682.6666666666666
554.6666666666666	672.0
554.6666666666666	746.6666666666666
565.3333333333334	661.3333333333334
565.3333333333334	736.0
522.6666666666666	682.6666666666666
544.0	693.3333333333334
522.6666666666666	682.6666666666666
522.6666666666666	629.3333333333334
544.0	757.3333333333334
533.3333333333334	778.6666666666667
522.6666666666666	693.3333333333334
554.6666666666666	682.6666666666666
533.3333333333334	714.6666666666666
522.6666666666666	725.3333333333334
544.0	618.6666666666666
533.3333333333334	768.0
544.0	704.0
533.3333333333334	704.0
554.6666666666666	725.3333333333334
544.0	736.0
554.6666666666666	704.0
544.0	661.3333333333334
576.0	746.6666666666666
522.6666666666666	672.0
533.3333333333334	672.0
554.6666666666666	629.3333333333334
565.3333333333334	661.3333333333334
544.0	650.6666666666666
544.0	661.3333333333334
544.0	650.6666666666666
554.6666666666666	672.0
576.0	714.6666666666666
522.6666666666666	682.6666666666666
522.6666666666666	618.6666666666666
565.3333333333334	736.0
533.3333333333334	746.6666666666666
533.3333333333334	704.0
565.3333333333334	661.3333333333334
554.6666666666666	704.0
544.0	704.0
544.0	693.3333333333334
554.6666666666666	672.0
533.3333333333334	650.6666666666666
533.3333333333334	714.6666666666666
544.0	650.6666666666666
512.0	682.6666666666666
544.0	704.0
565.3333333333334	629.3333333333334
565.3333333333334	661.3333333333334
597.3333333333334	693.3333333333334
533.3333333333334	682.6666666666666
544.0	736.0
522.6666666666666	725.3333333333334
533.3333333333334	650.6666666666666
544.0	650.6666666666666
522.6666666666666	746.6666666666666
544.0	768.0
533.3333333333334	725.3333333333334
533.3333333333334	650.6666666666666
554.6666666666666	682.6666666666666
565.3333333333334	672.0
522.6666666666666	746.6666666666666
522.6666666666666	725.3333333333334
554.6666666666666	650.6666666666666
512.0	693.3333333333334
554.6666666666666	682.6666666666666
533.3333333333334	693.3333333333334
565.3333333333334	714.6666666666666
544.0	682.6666666666666
544.0	714.6666666666666
554.6666666666666	650.6666666666666
554.6666666666666	672.0
522.6666666666666	693.3333333333334
565.3333333333334	725.3333333333334
565.3333333333334	661.3333333333334
554.6666666666666	693.3333333333334
522.6666666666666	682.6666666666666
512.0	693.3333333333334
554.6666666666666	629.3333333333334
533.3333333333334	725.3333333333334
544.0	650.6666666666666
554.6666666666666	682.6666666666666
544.0	725.3333333333334
554.6666666666666	629.3333333333334
533.3333333333334	661.3333333333334
544.0	714.6666666666666
533.3333333333334	682.6666666666666
544.0	640.0
522.6666666666666	725.3333333333334
544.0	757.3333333333334
576.0	640.0
565.3333333333334	693.3333333333334
522.6666666666666	672.0
522.6666666666666	586.6666666666666
522.6666666666666	714.6666666666666
Acceptance Rate
0.5	1.0
0.51	1.0
0.5	1.0
0.54	0.74
0.51	0.69
0.44	0.73
0.45	0.66
0.39	0.62
0.44	0.72
0.35	0.62
0.43	0.56
0.36	0.44
0.39	0.54
0.39	0.57
0.49	0.49
0.33	0.47
0.33	0.43
0.36	0.39
0.39	0.5
0.29	0.41
0.42	0.35
0.41	0.55
0.29	0.49
0.32	0.42
0.32	0.45
0.31	0.41
0.36	0.48
0.3	0.33
0.24	0.4
0.29	0.37
0.31	0.43
0.25	0.39
0.25	0.44
0.24	0.39
0.25	0.34
0.29	0.41
0.31	0.48
0.26	0.4
0.19	0.44
0.33	0.42
0.22	0.39
0.28	0.41
0.25	0.29
0.13	0.46
0.17	0.54
0.18	0.48
0.2	0.45
0.21	0.42
0.18	0.47
0.22	0.42
0.24	0.38
0.2	0.42
0.13	0.39
0.21	0.44
0.17	0.53
0.23	0.3
0.15	0.49
0.12	0.42
0.11	0.44
0.13	0.3
0.19	0.47
0.13	0.5
0.2	0.39
0.13	0.43
0.18	0.44
0.19	0.43
0.11	0.43
0.12	0.44
0.11	0.41
0.12	0.46
0.15	0.4
0.1	0.43
0.12	0.39
0.16	0.44
0.11	0.5
0.07	0.46
0.05	0.39
0.13	0.43
0.12	0.41
0.19	0.39
0.15	0.49
0.13	0.49
0.07	0.45
0.05	0.41
0.07	0.42
0.05	0.53
0.08	0.36
0.1	0.34
0.07	0.45
0.08	0.43
0.04	0.45
0.18	0.51
0.11	0.42
0.11	0.38
0.05	0.45
0.07	0.58
0.06	0.48
0.03	0.44
0.07	0.39
0.07	0.39
0.05	0.44
0.05	0.47
0.06	0.34
0.06	0.44
0.07	0.51
0.04	0.4
0.07	0.45
0.03	0.45
0.07	0.49
0.06	0.5
0.05	0.42
0.08	0.4
0.09	0.35
0.05	0.49
0.07	0.47
0.02	0.51
0.07	0.47
0.03	0.42
0.04	0.57
0.05	0.39
0.01	0.52
0.04	0.43
0.02	0.5
0.06	0.48
0.05	0.44
0.02	0.41
0.07	0.45
0.07	0.4
0.01	0.46
0.05	0.41
0.04	0.42
0.05	0.41
0.07	0.35
0.04	0.37
0.04	0.42
0.04	0.39
0.05	0.32
0.03	0.26
0.02	0.29
0.02	0.22
0.02	0.19
0.02	0.19
0.02	0.18
0.03	0.21
0.06	0.25
0.04	0.16
0.03	0.18
