End of Run Costs
MLam	STLam
101.01892332614678	100.06580334861957
102.25851682850261	101.52950241906719
101.02560452558659	102.56481849242113
102.84044945354111	100.63118893888957
100.15511168776983	100.10970277937426
105.03620948862317	103.47446102965151
102.55153114801053	101.81688238416763
101.5988244480891	101.68252330988051
102.01775417358071	104.83508987296376
102.01723901808577	100.54273962639299
99.29019928899153	101.03183361196999
102.46425264754741	98.52713618575967
102.00229415317922	103.09759132811807
101.6293969076637	101.26211091829364
102.83104064614197	102.23251962116632
101.26562619741655	102.9398755858918
102.40460026223478	102.46238975274075
102.43166730891294	102.71994004757929
104.74540861269492	101.80294040948496
101.73635988776346	104.94456044415013
98.8478624033671	103.12536612652298
103.9659063169162	105.57060514507806
103.35672190502652	103.10184978428046
100.65107755672723	102.67771952056617
103.32554934058915	103.67090660511718
103.0453373647589	101.33963844872586
104.17315920377612	101.45022245448408
101.09560653154152	101.29603597548703
104.31989449634368	102.57122017998638
101.63020310729253	100.16808392642994
104.8602531234864	104.18066832366766
104.10995004276282	104.41726815053102
104.07765046914102	100.7888629156584
103.39075809869499	100.12539268203622
101.0133951555449	102.7443585844556
100.57811903136579	102.2186871027601
101.10351899622714	101.4164149858118
103.51880532750194	98.76074859526175
101.96296051378458	103.24521572467711
103.08530454441609	100.53288602431283
99.99008999317896	101.84053131015402
102.63211228718407	101.36054227501738
103.24458366769713	103.14232030167484
104.119457454404	102.71520550080515
101.95376496865019	101.92027670297266
103.04750904281846	103.87079546474698
101.88064747766805	99.69359095512561
100.08212057241838	101.46614771945136
100.99643026160257	100.17425242364205
101.84003842452681	99.96427017310911
103.11297629941369	101.444214219182
102.33914421877124	102.52077374156529
99.94516887377631	103.06100627894492
103.73933505062377	101.7848349294051
100.48666851129252	103.55125247643923
101.83821655090813	102.32682809495608
105.52232258614958	102.38163362014052
102.11392529828363	103.29605757235353
104.22039848331563	102.86960559060607
103.49687115680582	100.35687323309071
101.59784479658359	101.42254614555631
101.06991432131431	102.94068605647391
102.24036795118911	102.35147461853083
103.09254978352337	99.86458165368957
102.24055635522738	102.57435784034305
101.0433487332868	101.82231336560905
101.19339470127638	100.05584274065671
100.4232961327952	103.90525866984055
100.95852882843694	101.67601385351458
99.67642434620694	103.77147077455274
102.80955172138545	100.4283919934148
101.8498119526502	99.52800701951281
102.43341720426915	102.74841634227194
100.2523775887173	101.16534741358802
102.35570472940228	100.80389953258876
103.74307176175267	102.01432807512776
99.70418113073308	103.66929324983275
100.45170932710151	101.20611391179001
100.91701352427941	98.64972503242028
103.72640231993864	102.24427096981152
104.2499531105322	102.99894814222935
102.55572182733977	102.68125719168056
99.44333173995375	99.89385582774335
104.20700225733789	102.3133994403334
102.32242110153629	103.6823817132414
100.57574975294202	102.9653531146671
103.81184555067813	100.78464560799489
104.01533768144047	103.12841065463942
104.4427220023478	102.13690958042172
102.74056384427463	102.60092990888644
103.39905269670217	101.74473182348193
102.70317024613323	99.27767990197339
102.61127942476408	101.78479300492859
104.36045297552769	100.87087842254668
104.45040735987668	103.63660773587866
101.41557004757894	102.49775792026573
103.55961586869896	103.10285454589926
103.15226708688687	101.25120956393383
102.6664635873336	102.01599020341084
102.18818443862313	103.79759058357645
Acceptance Rate
0.7	1.0
0.93	0.68
0.78	0.81
0.7	0.76
0.68	0.74
0.66	0.5
0.63	0.44
0.58	0.58
0.45	0.55
0.58	0.51
0.48	0.54
0.45	0.41
0.46	0.46
0.35	0.51
0.53	0.47
0.47	0.46
0.46	0.41
0.53	0.44
0.45	0.45
0.47	0.51
0.38	0.34
0.42	0.42
0.42	0.4
0.47	0.41
0.45	0.42
0.45	0.43
0.52	0.4
0.35	0.47
0.51	0.42
0.44	0.42
0.47	0.41
0.54	0.47
0.42	0.39
0.45	0.46
0.44	0.43
0.44	0.44
0.45	0.4
0.44	0.52
0.42	0.39
0.42	0.5
0.44	0.42
0.37	0.48
0.51	0.48
0.35	0.51
0.46	0.36
0.53	0.46
0.39	0.35
0.42	0.4
0.5	0.42
0.55	0.45
0.5	0.42
0.38	0.5
0.51	0.41
0.41	0.41
0.43	0.41
0.45	0.39
0.35	0.48
0.4	0.45
0.5	0.45
0.39	0.34
0.49	0.48
0.46	0.36
0.45	0.38
0.38	0.39
0.39	0.46
0.41	0.43
0.4	0.46
0.51	0.34
0.53	0.53
0.46	0.43
0.49	0.52
0.42	0.45
0.47	0.43
0.47	0.43
0.4	0.41
0.44	0.46
0.44	0.44
0.4	0.53
0.36	0.42
0.5	0.47
0.5	0.44
0.39	0.43
0.35	0.42
0.53	0.49
0.46	0.42
0.44	0.48
0.52	0.37
0.41	0.47
0.46	0.41
0.48	0.51
0.44	0.42
0.49	0.45
0.41	0.42
0.39	0.45
0.46	0.56
0.38	0.49
0.45	0.38
0.5	0.38
0.48	0.46
0.41	0.45
0.36	0.43
0.38	0.34
0.43	0.46
0.47	0.42
0.44	0.48
0.4	0.47
0.41	0.44
0.46	0.39
0.46	0.46
0.48	0.43
0.45	0.46
0.4	0.42
0.48	0.51
0.53	0.5
0.42	0.43
0.44	0.41
0.39	0.43
0.46	0.48
0.4	0.52
0.41	0.42
0.43	0.51
0.36	0.44
0.52	0.51
0.38	0.38
0.51	0.46
0.52	0.44
0.42	0.48
0.5	0.45
0.39	0.51
0.36	0.42
0.4	0.47
0.4	0.31
0.41	0.37
0.33	0.38
0.23	0.2
0.24	0.33
0.32	0.17
0.2	0.2
0.22	0.21
0.19	0.16
0.17	0.21
0.18	0.22
0.14	0.12
0.16	0.21
0.19	0.13
0.06	0.08
0.09	0.12
0.08	0.12
0.08	0.08
0.09	0.08
0.09	0.09
0.04	0.1
0.04	0.03
0.06	0.08
0.02	0.05
0.05	0.06
0.06	0.08
0.05	0.05
0.03	0.05
0.02	0.02
0.03	0.04
0.05	0.02
0.0	0.01
0.0	0.02
0.02	0.01
0.01	0.01
0.01	0.0
0.0	0.02
0.02	0.02
0.0	0.01
0.01	0.0
0.01	0.02
0.01	0.0
0.03	0.02
0.01	0.01
0.01	0.01
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.01	0.03
0.02	0.01
0.0	0.01
0.01	0.0
0.02	0.0
0.0	0.01
0.01	0.02
0.01	0.0
0.0	0.0
0.01	0.0
0.0	0.01
0.0	0.0
0.0	0.0
0.0	0.0
0.01	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.01	0.0
0.0	0.01
