End of Run Costs
MLam	STLam
4671.600157747613	4817.043426534914
4606.30237684747	4620.046584724523
4650.355209266336	4646.3313284658125
4572.090031968031	4659.708743142713
4562.458747177257	4688.572999795245
4727.049464177007	4662.6165486568825
4655.432497198695	4722.65152484013
4725.379656027528	4706.962287146546
4578.200285769099	4638.667042501256
4606.736646906745	4694.184836055422
4683.896466311508	4691.5494928164835
4622.738227230738	4669.6912713199445
4698.162093937614	4848.628630950615
4763.526632637316	4708.133119716326
4733.065250430012	4636.626998698259
4703.340150503837	4640.769421331519
4660.276030919366	4589.672238680152
4689.923915058089	4737.421771251527
4726.321078078483	4651.092035007973
4859.5202332792105	4721.503225086457
4643.924383766609	4660.776375075963
4713.546028935012	4752.228345770549
4756.681844409472	4798.165974170627
4652.51863295486	4620.888570224194
4676.18521049433	4828.3710970594975
4715.943112680395	4743.205025611565
4665.058653855978	4628.0631072857905
4731.423087352111	4780.60443977496
4604.708630556416	4792.665474476617
4655.517228684921	4734.651614271022
4590.271798275028	4704.479053800674
4763.651592310737	4783.578220997824
4761.816755439331	4634.327413561281
4692.634620569095	4722.248664929846
4633.444583660167	4737.731234093025
4627.784166854721	4678.202437516339
4647.532749251297	4705.533683958037
4637.001809811661	4663.346613910078
4616.32309452058	4722.868460397187
4648.692764212899	4674.462199611346
4670.1555005670325	4749.172695262977
4591.693084755601	4559.229095550772
4589.45611859447	4803.19207733556
4807.843736162423	4726.9523191387625
4775.482242994178	4737.7815059475215
4795.9980725713995	4703.804451922143
4795.220598781789	4682.7683627505585
4625.967401969818	4769.702496625118
4635.532873164285	4708.1361503358985
4707.048987647433	4500.726597273729
4788.420838916336	4812.838284911457
4760.670467139261	4712.998411688592
4725.5150470055805	4625.38201224914
4631.73642742084	4705.643708569682
4661.953021712874	4704.620083565293
4872.19620136475	4644.755703385785
4717.668957362845	4732.372083781591
4776.078600710387	4657.099395774788
4794.0195955653635	4732.988181429995
4685.518756635029	4635.119395332059
4489.031169177785	4731.235691473296
4530.458081877865	4628.2091845256355
4746.095152036431	4690.298111691125
4558.97337377096	4702.3910310697565
4667.311435392318	4658.888710547991
4618.16399591662	4716.223978439772
4643.376698871777	4662.476771227763
4749.318895168356	4713.522877161563
4451.254138088271	4704.042895102291
4634.036660800413	4762.133810835365
