End of Run Costs
MLam	STLam
0	0
18	0
0	0
0	18
54	18
0	18
18	0
0	0
18	18
18	18
0	18
36	18
36	0
0	18
18	0
0	0
0	0
18	0
0	18
18	18
36	0
0	0
0	0
18	0
18	18
0	18
0	18
0	0
0	36
18	0
0	18
0	0
36	0
0	0
0	0
18	0
0	0
18	18
0	0
0	36
0	18
0	0
0	0
0	18
18	0
0	18
36	0
0	18
0	36
0	18
18	18
0	0
18	0
0	18
0	0
0	0
0	18
0	18
18	0
0	0
0	18
0	0
18	18
36	0
18	18
0	0
0	54
18	0
18	0
0	0
0	0
18	0
18	0
0	0
0	0
0	0
0	0
0	18
0	18
0	0
18	0
0	0
18	18
0	18
36	0
0	0
18	0
0	18
18	18
36	18
0	0
18	18
0	18
36	18
0	0
18	18
0	18
0	0
0	0
18	0
Acceptance Rate
0.59	1.0
0.36	0.66
0.37	0.81
0.26	0.68
0.22	0.76
0.2	0.6
0.28	0.57
0.49	0.53
0.59	0.59
0.69	0.5
0.5	0.57
0.38	0.55
0.55	0.44
0.42	0.48
0.46	0.45
0.44	0.5
0.43	0.4
0.42	0.49
0.47	0.47
0.41	0.41
0.41	0.46
0.38	0.42
0.42	0.53
0.41	0.55
0.35	0.41
0.42	0.38
0.55	0.47
0.44	0.45
0.51	0.39
0.4	0.49
0.49	0.48
0.49	0.5
0.5	0.44
0.52	0.37
0.46	0.46
0.39	0.37
0.39	0.41
0.47	0.43
0.4	0.46
0.4	0.48
0.46	0.36
0.53	0.38
0.44	0.32
0.39	0.43
0.39	0.37
0.46	0.37
0.47	0.38
0.4	0.45
0.45	0.39
0.41	0.4
0.46	0.48
0.46	0.45
0.39	0.46
0.58	0.42
0.47	0.46
0.4	0.41
0.4	0.42
0.34	0.42
0.51	0.37
0.35	0.41
0.49	0.53
0.41	0.46
0.36	0.43
0.48	0.44
0.51	0.4
0.49	0.42
0.44	0.47
0.51	0.37
0.42	0.37
0.42	0.44
0.45	0.51
0.49	0.42
0.51	0.37
0.45	0.46
0.44	0.56
0.54	0.43
0.42	0.38
0.45	0.37
0.47	0.44
0.32	0.56
0.45	0.45
0.52	0.36
0.41	0.5
0.48	0.5
0.46	0.5
0.38	0.41
0.48	0.49
0.5	0.35
0.42	0.39
0.49	0.39
0.53	0.5
0.39	0.52
0.42	0.42
0.31	0.36
0.38	0.45
0.46	0.45
0.41	0.46
0.54	0.46
0.41	0.51
0.33	0.47
0.48	0.44
0.4	0.38
0.47	0.41
0.39	0.42
0.4	0.38
0.44	0.46
0.48	0.41
0.43	0.48
0.36	0.44
0.45	0.45
0.43	0.51
0.36	0.44
0.41	0.47
0.37	0.4
0.39	0.44
0.43	0.4
0.44	0.42
0.43	0.41
0.55	0.47
0.42	0.41
0.47	0.35
0.46	0.47
0.4	0.46
0.45	0.5
0.48	0.46
0.53	0.44
0.46	0.44
0.4	0.41
0.5	0.49
0.42	0.43
0.44	0.42
0.36	0.4
0.4	0.37
0.34	0.34
0.25	0.22
0.28	0.22
0.3	0.23
0.3	0.22
0.23	0.21
0.2	0.17
0.14	0.14
0.19	0.13
0.13	0.19
0.11	0.14
0.13	0.11
0.09	0.09
0.12	0.13
0.12	0.12
0.08	0.08
0.03	0.12
0.03	0.05
0.06	0.05
0.07	0.05
0.07	0.04
0.08	0.04
0.07	0.02
0.05	0.06
0.05	0.03
0.01	0.02
0.06	0.04
0.03	0.02
0.01	0.01
0.02	0.04
0.03	0.02
0.01	0.0
0.05	0.01
0.02	0.01
0.03	0.02
0.01	0.0
0.01	0.03
0.01	0.0
0.0	0.03
0.01	0.01
0.01	0.01
0.0	0.01
0.02	0.01
0.0	0.01
0.0	0.0
0.0	0.01
0.01	0.01
0.0	0.0
0.01	0.01
0.01	0.02
0.0	0.0
0.01	0.01
0.0	0.02
0.01	0.0
0.01	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.0
0.0	0.0
0.01	0.01
0.0	0.0
0.0	0.0
0.0	0.0
